Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Supplies,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,180,0,25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Capital Outlay,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,"43,495",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,100,South Central Illinois Drug Task Force contract #4482,South Central Illinois Drug Task Force contract #4482,Capital outlay ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"5,166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Personal services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,779",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,129",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Personnel services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,885","69,339",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,428","29,569",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Commodities ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,"2,030",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Capital outlay ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,100",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Personnel servcies,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"41,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"43,834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Personnel services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,531",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,911",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Commodities ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Salaries and related expenses,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"23,224","9,290",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Contractual ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,885,"1,665",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Supplies ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"4,902",389,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Capital Outlay ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"11,938","1,964",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Travel ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2,289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,106,Building Commission Fund ,Building Commission Fund ,Interest ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,213","23,981",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,106,Building Commission Fund ,Building Commission Fund ,Fees ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,"1,452",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,106,Building Commission Fund ,Building Commission Fund ,Insurance ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,945","7,776",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,106,Building Commission Fund ,Building Commission Fund ,Repairs and maintenance,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,300","4,887",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,106,Building Commission Fund ,Building Commission Fund ,Miscellaneous ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,"1,237",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Personnel Services,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"250,000","254,525","118,009","118,009","118,009","118,009","118,009",0,0,,0,"56,038","55,304","58,496","59,212","34,007","82,893","121,672","137,197","166,869","115,435","92,350","82,108","91,596","83,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"90,000",0,0,0,0,0,0,0,0,,0,"40,335","43,639","39,832","42,213","41,554","68,337","34,883","57,005",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Travel,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"1,000","1,506","1,955","1,955","1,955","1,833",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Commodities,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"59,485",0,0,0,0,0,0,0,0,,0,"2,401","2,253","2,950","2,950","2,001","3,153","5,853","23,135",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,452,531,"13,125","13,272","12,454","33,797",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,108,Recorder's GIS Fund,Recorder's GIS Fund,General Government,,,County Clerk,0,0,,0,0,0,0,0,0,0,"25,000","45,000","50,000",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,799,"22,566",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,109,Assessor's GIS Fund,Assessor's GIS Fund,General Government,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,"100,000","100,000","250,000","369,040",0,0,0,0,0,0,,0,0,0,0,0,0,0,"3,329","59,800","160,177","83,223",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,110,Public Safety Fund,Public Safety Fund,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,500,"86,650","10,152","228,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,111,DUI Equipment Fund,DUI Equipment Fund,Capital Outlay,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"4,000","4,000","4,000","4,000","4,000","4,000","4,000",0,0,,0,0,0,0,0,0,0,"3,864",828,0,"1,590",0,"1,000","1,450",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,112,CDAP Fund,CDAP Fund,Capital Development,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,"37,900","40,000","350,000",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,"50,000","23,709","326,286",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,114,Sheriff's Federal Drug Fund,Sheriff's Federal Drug Fund,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"8,000","5,000","6,000","6,000","5,000","5,000","5,000",0,0,,0,0,0,0,0,0,0,"7,625",0,0,"5,144",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,115,Coroner's Equipment Fund,Coroner's Equipment Fund,Capital Outlay,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"1,236",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,116,Arrestees' Medical Costs,Arrestees' Medical Costs,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"8,000","20,000","20,000","20,000","20,000","20,000","18,600",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,117,Tax Sale In Error Interest,Tax Sale In Error Interest,Miscellaneous,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,"2,000","8,200","12,000","10,000","40,000","35,000","27,000","21,275",0,0,,0,0,0,0,0,0,0,"1,963","5,209","4,513","6,043","4,032","4,773","6,084","21,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,118,Health Insurance Fund,Health Insurance Fund,Insurance,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,"70,000","75,000","75,000","75,000","75,000","75,000",0,0,,0,0,0,0,0,0,0,0,"37,696","63,951","72,456","45,407","47,916","48,905","38,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,"350,000","128,000","100,000","75,000","75,000","75,000","134,094",0,0,,0,0,0,0,0,0,0,0,"303,210","101,254","52,842","40,852","29,517","35,000","113,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"132,933",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"132,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,120,Pet Population Control Fund,Pet Population Control Fund,Neutering Expense,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,"2,000","14,000","9,000","19,000","24,000","24,000","24,000",0,0,,0,0,0,0,0,0,0,0,"2,000","11,067","8,073","12,640","9,267","5,675","14,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,121,Police Vehicle Fund,Police Vehicle Fund,Cash Disbursements,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,123,Sheriff Reimbursement Fund,Sheriff Reimbursement Fund,Salaries ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,629",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,123,Sheriff Reimbursement Fund,Sheriff Reimbursement Fund,Reimbursement Sheriff Account ,,,Sheriff,"50,000","100,000",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,124,Inheritance Tax Fund,Inheritance Tax Fund,Settlement With State,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201,671","214,905",,"1,268,858","302,040","865,342","551,647","744,821",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,125,County Court Trust Fund,County Court Trust Fund,Court Orders,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,416","5,854",,"16,257","42,300","15,928","90,000","2,721",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,126,Condemnation Fund,Condemnation Fund,Settlement of Claims,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,470",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,126,Condemnation Fund,Condemnation Fund,Court Orders,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"83,245",0,"25,000","66,400","32,050",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,127,Emergency Relief Fund ,Emergency Relief Fund ,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,"519,559","474,975","465,028",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,128,Tax Redemption Fund,Tax Redemption Fund,Paid to Purchasers,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"251,385","324,220",,"365,696","420,367","519,559","474,975","465,028",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,128,Tax Redemption Fund,Tax Redemption Fund,Clerk's Fees (to General Fund) ,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,128,Tax Redemption Fund,Tax Redemption Fund,Take Notices (to General Fund) ,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,129,South Otter Drainage District #1,South Otter Drainage District #1,Services,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,083",450,,"1,190",0,258,355,"1,710",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,130,South Otter Drainage District #2,South Otter Drainage District #2,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,131,Barnett Special Drainage District,Barnett Special Drainage District,Printing/Supplies,,,County Board Office,360,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,384,,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,131,Special Purpose Fund,Special Purpose Fund,Maintenance,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"1,200",453,510,"1,481",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,132,Tax Sale Fees Fund,Tax Sale Fees Fund,Cash Disbursements,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,759",0,"1,321",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,"Distribution of Fees, Costs & Fines",,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,005,073","1,133,410",,"1,048,812","1,112,456","1,467,225","1,555,256","2,169,129",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Restitution,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,538","129,502",,"153,332","144,663","164,165","223,827","187,488",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Net Decrease In Bonds ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,988",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Driver's Education ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,State's Attorney Fees ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Sheriff Fees ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
