Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Travel,,,Public Health Adminstrator,20000,18000,,22000,22000,23000,30000,25000,0,0,0,0,0,0,0,0,0,0,,,22661,20614,,22000,24284,31433,41224,43542,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Education & Training,,,Public Health Adminstrator,5000,5000,,10000,10000,12000,18000,15000,0,0,0,0,0,0,0,0,0,0,,,4438,9688,,9762,10809,22495,26530,10421,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Equipment Purchase & Maintenance,,,Public Health Adminstrator,6000,7000,,9000,9000,11000,10000,12000,0,0,0,0,0,0,0,0,0,0,,,7648,5985,,8743,5632,24306,4309,6162,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Occupancy Expense,,,Public Health Adminstrator,26000,40960,,50600,49200,51000,56400,53000,0,0,0,0,0,0,0,0,0,0,,,16459,22648,,68390,48968,51914,95096,40221,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Building Renovation,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Hepatitis Program,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Car Seat Program,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Prenatal Care Program,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,WIC Program,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Medical Supplies,,,Public Health Adminstrator,20000,17000,,18000,18000,27000,28000,94000,0,0,0,0,0,0,0,0,0,0,,,22715,9045,,27402,7425,30954,153583,159581,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Dental Sealant Program,,,Public Health Adminstrator,0,0,,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,25524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,DUI Task Force Expense,,,Public Health Adminstrator,0,0,,0,23000,18000,10000,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,47874,9951,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Community Access Grant,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,804402,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,Miscellaneous,,,Public Health Adminstrator,66361,47861,,86800,69800,69800,86500,71000,0,0,0,0,0,0,0,0,0,0,,,31503,42562,,129838,217537,273130,166331,136200,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,48,County Health Department Fund,County Health Department Fund,All Other Health Related Expenses,,,Public Health Adminstrator,0,0,,0,0,0,0,0,795305,338500,338500,593104,631585,700000,1700000,620000,623733,0,,,0,0,,0,0,0,0,0,867451,632862,525995,647313,671681,616293,1453645,580373,637460,0,,
Special Purpose Fund,2,49,Illinois Municipal Retirement Fund,Illinois Municipal Retirement Fund,Payment to Illinois Municipal Retirement Fund,,,Countywide Expense,325000,550000,,425000,700000,750000,865000,785000,850000,870000,962000,1013000,1220000,1070000,1070000,1080000,1080000,1285000,,,533363,525353,,615806,741374,820747,861022,835082,833346,962368,1049640,1106245,1101078,1084523,1021679,1023116,1059604,1186222,,
Special Purpose Fund,2,50,Social Security Fund,Social Security Fund,Social Security,,,Countywide Expense,0,0,,0,0,320000,315000,325000,325000,335000,670000,425000,300000,360000,360000,360000,360000,396000,,,,,,,,306500,317854,342493,361281,379123,324488,327791,318689,317111,313942,310172,325279,370431,,
Special Purpose Fund,2,51,Animal Control Claim Fund,Animal Control Claim Fund,Claims,,,Animal Control Adminstrator,10000,20000,,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,840,210,,345,1051,309,240,210,360,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,52,Animal Control Working Fund,Animal Control Working Fund,Salaries & Benefits,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,30000,23682,41000,48217,62174,,,0,0,,0,0,0,0,0,0,0,0,0,0,24409,23682,40597,43653,62174,,
Special Purpose Fund,2,52,Animal Control Working Fund,Animal Control Working Fund,Commodities,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,52,Animal Control Working Fund,Animal Control Working Fund,Miscellaneous,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,52,Animal Control Working Fund,Animal Control Working Fund,Expense of Operations,,,Animal Control Adminstrator,30000,25000,,25000,12000,12000,30000,20000,20000,20000,30000,35800,49000,50000,56318,44000,571783,44826,,,17491,21335,,11089,17253,18173,21300,19259,18971,19051,29956,31601,34059,48712,47969,43867,548145,45085,,
Special Purpose Fund,2,52,Animal Control Working Fund,Animal Control Working Fund,Capital Outlay,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,,
Special Purpose Fund,2,53,Sheriff's LS21 Fund,Sheriff's LS21 Fund,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,71487,5901,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,54,County Farm Fund,County Farm Fund,Miscellaneous,,,County Board Office,1000,10000,,10000,10000,10000,10000,5000,5000,0,0,0,0,3000,3000,13000,3000,3000,,,0,0,,0,459,0,380,4200,3350,2500,0,0,0,2284,0,0,0,0,,
Special Purpose Fund,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,0,0,,0,50000,50000,50000,50000,45000,0,20000,20000,20000,0,0,0,20000,20000,,,0,0,,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,5598,,
Special Purpose Fund,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,10000,50000,,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,56,Revolving Loan Fund II,Revolving Loan Fund II,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,230000,0,0,10000,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,57,Old Jail Restoration Fund,Old Jail Restoration Fund,Health & Welfare,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,58,State's Attorney - Bad Check Division,State's Attorney - Bad Check Division,Judiciary,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,7584,17615,,
Special Purpose Fund,2,59,Tort Liability Fund,Tort Liability Fund,Insurance Premium/Bonds,,,Countywide Expense,150000,265000,,350000,300000,450000,400000,330000,250000,325000,350000,350000,417000,420000,440000,413500,413500,432000,,,151950,201848,,161544,203325,252998,489108,328030,252229,357440,341340,350000,417000,420000,423830,344874,375523,407402,,
Special Purpose Fund,2,59,Tort Liability Fund,Tort Liability Fund,Miscellaneous,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,59,Tort Liability Fund,Tort Liability Fund,Animal Control - Miscellaneous,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6500,6500,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6389,196,0,,
Highway Fund,3,60,County Highway Fund,County Highway Fund,Salaries,,,County Highway Engineer,455272,481600,,536000,536000,570000,587000,660000,660000,665000,675000,660000,680000,710000,682100,721000,746000,785000,,,497989,466723,,492952,538572,530260,561087,607093,546794,645447,582251,627680,643547,668554,640226,673543,726490,690352,,
Highway Fund,3,60,County Highway Fund,County Highway Fund,Contractual,,,County Highway Engineer,55800,44700,,46900,14800,14600,26100,53500,40200,72200,72100,311400,325700,375300,413800,376400,370600,407300,,,38083,52411,,41287,6529,11529,125366,6860,102187,117000,211965,193848,192583,449902,285879,172643,253510,366545,,
Highway Fund,3,60,County Highway Fund,County Highway Fund,Capital Outlay,,,County Highway Engineer,52000,61000,,59400,71400,121400,171400,180000,258000,235000,235000,178000,218000,218000,231000,223500,226000,224000,,,26564,43331,,216055,54536,105073,89609,98631,157832,144572,0,178879,175591,135992,153560,67448,100323,82034,,
Highway Fund,3,60,County Highway Fund,County Highway Fund,Commodities,,,County Highway Engineer,213500,235000,,217800,219000,217000,218000,170000,199000,185000,178000,154500,191000,195000,231000,222000,215300,210800,,,204495,175843,,125633,133693,122675,17228,137057,254678,106024,210693,162506,186911,205276,168619,332418,247137,218270,,
Highway Fund,3,60,County Highway Fund,County Highway Fund,Miscellaneous,,,County Highway Engineer,11000,4000,,5000,24000,24000,24000,24000,24000,24000,24000,14000,0,14000,0,15000,0,0,,,0,392,,3701,1084,1499,3148,3630,0,0,0,11323,6940,6521,5492,3922,4329,2193,,
Highway Fund,3,61,Gravel Road Fund,Gravel Road Fund,Contractual,,,County Highway Engineer,3000,3000,,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Highway Fund,3,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Contractual,,,County Highway Engineer,80000,50000,,70000,70000,90000,100000,700000,200000,200000,200000,200000,300000,240000,550000,450000,450000,500000,,,109165,72490,,60605,23120,24110,84868,139917,78441,74196,121192,146636,287160,217216,505473,167283,380119,0,,
Highway Fund,3,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Capital Outlay,,,County Highway Engineer,270000,160000,,140000,155000,190000,200000,0,500000,500000,400000,65000,65000,75000,0,100000,100000,100000,,,225298,8086,,126984,41987,45611,10521,152558,252279,258531,404966,90570,39367,663,0,144603,75254,373249,,
Highway Fund,3,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Commodities,,,County Highway Engineer,140000,10000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9159,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Highway Fund,3,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Miscellaneous,,,County Highway Engineer,60000,20000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Highway Fund,3,63,County Township Bridge Bond Fund,County Township Bridge Bond Fund,Contractual,,,County Highway Engineer,90000,90000,,50000,50000,83000,60000,605000,60000,60000,48000,350000,450000,450000,769900,450000,450000,450000,,,4646,168671,,343252,89048,371385,0,58553,28560,7662,161793,76401,38288,658512,437138,0,0,0,,
Highway Fund,3,63,County Township Bridge Bond Fund,County Township Bridge Bond Fund,Capital Outlay,,,County Highway Engineer,265000,265000,,320000,150000,315000,440000,0,550000,550000,390000,269000,269000,269000,0,150000,150000,150000,,,103313,163449,,0,0,0,0,0,0,0,89012,197654,206090,4211,0,193829,0,0,,
Highway Fund,3,64,County Township Bridge Fund,County Township Bridge Fund,Contractual,,,County Highway Engineer,50000,50000,,20000,20000,40000,40000,60000,180000,140000,100000,60000,65000,200000,0,125000,250000,260000,,,23124,80053,,31007,51721,64004,65479,54690,67682,33545,39683,30017,31373,60104,0,34817,374895,15721,,
Highway Fund,3,64,County Township Bridge Fund,County Township Bridge Fund,Commodities,,,County Highway Engineer,40000,50000,,80000,80000,140000,140000,0,180000,140000,100000,0,0,0,0,125000,0,0,,,191,0,,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Highway Fund,3,64,County Township Bridge Fund,County Township Bridge Fund,Capital Outlay,,,County Highway Engineer,250000,200000,,100000,100000,200000,200000,500000,220000,180000,120000,135000,75000,150000,350000,150000,150000,150000,,,154285,118405,,216465,118403,170612,126540,249753,260851,259932,295293,143141,68378,213485,298893,138636,19850,166590,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Personal Services,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,184282,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Medical Supplies,,,Public Health Adminstrator,0,0,,0,0,0,6000,8500,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,4758,11671,3556,8171,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Contractual,,,Public Health Adminstrator,0,0,,0,0,0,7000,5500,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,5750,5187,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Occupancy Expense,,,Public Health Adminstrator,0,0,,0,0,0,5000,6500,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,1250,2550,3083,6413,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Repairs,,,Public Health Adminstrator,0,0,,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,1602,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Office Expense,,,Public Health Adminstrator,0,0,,0,0,0,2000,500,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,451,1404,1341,401,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Equipment,,,Public Health Adminstrator,0,0,,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Miscellaneous,,,Public Health Adminstrator,0,0,,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,22,494,195,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,444682,560000,560300,385000,492000,142000,0,,,0,0,,0,0,0,0,0,63271,165356,252183,508769,485344,171744,111739,93477,61895,0,,
Special Purpose Fund,2,66,GIS Fund,GIS Fund,Salaries & Benefits,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,0,40364,34526,93739,88560,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,20724,33934,57930,67862,,
Special Purpose Fund,2,66,GIS Fund,GIS Fund,Purchase of Equipment,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,,
Special Purpose Fund,2,66,GIS Fund,GIS Fund,Miscellaneous,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,150000,134636,131843,127268,141000,,,0,0,,0,0,0,0,0,0,0,0,0,0,74136,91122,119399,62095,84445,,
Special Purpose Fund,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Cash Disbursements to Schools,,,County Board Office,62250,68000,,73000,83000,83000,83000,88000,103000,52000,52000,52000,52000,52000,52000,52000,52000,52000,,,37000,97000,,67000,82000,87000,87014,87000,122000,34500,51999,52000,52000,52000,52000,52000,52000,52000,,
Special Purpose Fund,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Macoupin County Association of Retarded Children,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Illinois Valley Development Corporation,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,68,Mental Health Fund,Mental Health Fund,Macoupin County Mental Health Association,,,Public Health Adminstrator,160000,160000,,17500,175000,175000,176000,178500,195638,180000,180000,180000,182000,180000,180000,254000,180000,218000,,,127454,190681,,174844,210211,176246,141867,139704,177330,215435,144484,179402,181942,179489,174353,254200,180000,217845,,
Special Purpose Fund,2,69,Sheriff's Equipment Grant,Sheriff's Equipment Grant,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,17030,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,70,Rural Water Grant,Rural Water Grant,Capital Outlay,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,362200,37900,0,0,0,0,0,0,0,0,,
Health Fund,4,71,"Macoupin Community Health Center, Inc.","Macoupin Community Health Center, Inc.",Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,132000,25000,25000,25000,0,,,0,0,,0,0,0,0,0,0,0,0,0,33319,13765,21196,23545,5451,0,,
Special Purpose Fund,2,72,Solid Waste Management Fund,Solid Waste Management Fund,Miscellaneous,,,County Board Office,0,0,,0,0,12100,0,0,0,0,0,915,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,,
Special Purpose Fund,2,73,Vital Records Automation,Vital Records Automation,Miscellaneous,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,1300,13000,3000,3000,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1290,4073,2165,2269,,
Special Purpose Fund,2,74,County Tax Sale Fund,County Tax Sale Fund,General Government,,,County Tax Expenses,1000,22000,,22000,50000,50000,0,50000,50000,0,0,0,40000,0,0,0,0,0,,,0,0,,0,1759,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Special Purpose Fund,2,75,States Attorney - DUI Task Force ,States Attorney - DUI Task Force ,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,76,Delinquent Real Estate Taxes Liquidation Fund,Delinquent Real Estate Taxes Liquidation Fund,Miscellaneous,,,County Tax Expenses,0,0,,2000,2000,5000,2000,2000,2000,2000,144000,4000,4000,4000,20000,4000,4000,4000,,,0,0,,241,4433,1094,1226,1748,186617,3534,143634,2774,2028,2613,4411,1426,3570,2398,,
Special Purpose Fund,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Salaries,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,10827,14321,0,0,,
Special Purpose Fund,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Commodities,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Supplies,,,County Clerk,150000,175000,,175000,175000,175000,175000,90000,96000,125000,121000,300000,215000,150000,13000,55000,237606,3,,,66951,75115,,111864,175000,73079,208084,103057,93674,106752,120049,189109,177318,14863,9199,29010,59999,0,,
Special Purpose Fund,2,78,Sheriff's Drug Fund,Sheriff's Drug Fund,Miscellaneous,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,,,0,0,,0,0,1340,492,1665,0,4063,289,1225,1525,0,700,700,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Salaries,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,32959,300,300,300,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,32959,0,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Supplies,,,Circuit Clerk,31500,18921,,13250,5000,5000,5000,5000,5000,11500,5000,5000,5000,4531,2369,3400,1604,3400,,,34595,4795,,139,593,2864,787,1416,661,1229,4927,2897,2442,3072,832,3362,1604,2922,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Travel,,,Circuit Clerk,0,0,,0,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Equipment,,,Circuit Clerk,0,0,,13250,15000,15000,15000,15000,15000,15000,15000,15000,15000,13656,4681,1000,3142,1000,,,0,0,,180,0,0,26085,1060,2378,2064,12157,11433,1744,9656,4630,0,3142,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,"Mileage, Dues, & Conventions",,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,1500,1500,0,300,500,100,100,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Education/Training,,,Circuit Clerk,0,7579,,0,3500,3500,3500,3500,3500,0,0,3500,3500,0,200,300,100,100,,,0,7579,,0,0,477,364,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,System Updates/Programming,,,Circuit Clerk,0,0,,0,1500,1500,1500,1500,1500,0,0,1500,1500,0,1000,1000,550,896,,,0,0,,0,0,1029,50,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,79,Document Storage Fund,Document Storage Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,8313,4991,165000,90704,90704,,,0,0,,0,0,0,0,0,0,0,0,0,0,7191,4298,1062,171,0,,
Special Purpose Fund,2,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Commodities,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Supplies,,,County Clerk,75000,125000,,125000,125000,125000,125000,60000,55000,71479,60000,66000,15000,15000,18500,15000,20000,30000,,,18887,24639,,41207,77427,53033,116023,48703,53962,49243,59175,65876,14977,12245,18426,10077,16231,20405,,
Special Purpose Fund,2,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Salaries,,,County Treasurer,0,0,,0,0,0,0,0,0,0,0,0,0,0,10000,15000,28000,23200,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,7572,15000,28000,10657,,
Special Purpose Fund,2,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Miscellaneous,,,County Treasurer,0,0,,0,0,1000,2500,2500,6000,5000,6000,8100,20000,10000,0,0,0,0,,,0,0,,0,0,0,451,5351,1802,1346,5388,8065,17241,8267,0,0,0,0,,
Special Purpose Fund,2,82,Law Library Fund,Law Library Fund,Books & Supplies,,,Presiding Circuit Judge,17500,16000,,17000,25818,17000,20000,20000,20000,20000,20000,25000,27962,30000,30000,30000,30000,30000,,,14390,14768,,10115,21209,14988,16239,17466,19616,18165,19986,24987,27668,25266,29843,20738,19554,19726,,
Special Purpose Fund,2,83,Court Security Fund,Court Security Fund,Salaries & Fringe Reimbursement,,,Sheriff,0,0,,0,0,0,60000,100000,125000,0,125000,125000,125000,80000,80000,80000,195366,180000,,,0,0,,0,0,2172,3315,2602,5446,13249,2688,3284,2177,220,8067,2542,2924,5231,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Salaries,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3420,3697,4876,,,0,0,,0,0,0,0,0,0,0,0,0,0,1660,0,3418,3697,4876,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Office Supplies,,,Circuit Clerk,0,0,,0,0,1500,1000,1000,1000,2000,1000,1000,1000,1100,4668,4600,10970,3298,,,0,0,,0,0,0,1706,1626,0,0,249,4,25,851,4668,4582,10970,3298,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,2000,1000,1000,1000,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,System Updates & Programming,,,Circuit Clerk,0,0,,0,0,5000,5000,5000,5000,5000,5000,2680,5000,400,8776,1605,4039,32376,,,0,0,,0,0,0,6853,4109,1140,1450,2430,0,208,580,8776,1604,4039,32376,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Equipment Repairs & Maintenance,,,Circuit Clerk,0,0,,0,0,11000,16000,16000,16000,16000,16000,19876,16000,18864,26000,18750,41822,15797,,,0,0,,0,0,23814,15224,13310,12391,12069,9431,19876,14205,19520,16046,18742,41822,15797,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Payment on Computers,,,Circuit Clerk,0,0,,0,0,15884,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,,
