Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Court Automation Fund,Court Automation Fund,84,Circuit Clerk,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Payment on Computers,0,0,0,0,0,15884,0,0,0,0,0,0,0,0,0,0,0,0,10467.96,10647.96,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,3887.34
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Court Automation Fund,Court Automation Fund,84,Circuit Clerk,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,"Books, Transcripts, & Periodicals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,3000,1168,1645,1644.6,1644.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,50,503,772,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Court Automation Fund,Court Automation Fund,84,Circuit Clerk,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Capital Outlay,0,0,0,0,0,0,12384,12384,12384,12384,13384,26444,28000,39637,20083,28625,18302,42008,0,0,0,0,0,0,0,0,0,9507,5984,0,5096,2263,11052,13933,9149,4684,18169,42009,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Salaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10671,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Supplies,0,0,0,0,0,12000,10000,12000,19200,10000,16000,14360,12330,62144,55473,17000,73963,72334,33500,70000,0,0,0,0,0,10918,9244,6193,14231,7673,12691,13062,12347,12144,12881,14546,7416,12395,14665.97
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Repairs,0,0,0,0,0,0,0,0,0,0,0,19800,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6571,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Counseling,0,0,0,0,0,0,0,0,0,0,0,30640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30640,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Administration,0,0,0,0,0,0,0,25000,27153,13553,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14968,20498,4341,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Travel,0,0,0,0,0,20000,5000,15000,5500,4400,6000,5200,5000,8000,8000,4000,3037,8500,8500,10000,0,0,41749.87,0,0,3692,3854,1031,3102,4054,4270,5143,4915,5601,4584,3151,3036,8168,7469.84
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Equipment,0,0,0,0,0,25000,42000,20000,56284,71600,57000,10000,15000,28000,27000,13000,5000,33500,35000,12000,0,0,0,0,0,7715,35949,11194,48988,53310,49934,9456,4571,16090,9414,415,4488,2308,28726.75
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Miscellaneous,0,0,24000,0,0,0,0,0,0,0,0,0,40000,33856,30856,188365,24000,42666,33500,35000,0,0,0,0,0,0,0,0,0,0,0,0,34890,19520,22135,19094,19955,36519,16340
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Probation Fees Fund,Probation Fees Fund,85,Chief Probation and Court Services Officer,,This fund is statutorily authorized by 730 ILCS 110/15.1 and consists of fees collected by the court to be used strictly for costs of operating the Probation and Court Services Department in accordance with policies and guidelines approved by the Illinois Supreme Court. Probation fees may additionally be used to cover salary shortfalls of probation officers (as provided under 730 ILCS 110/15.1(h)) up to a set amount formulaically determined by the Administrative Office of the Illinois Courts (AOIC). Salary shortfalls beyond that set amount may not be covered by the Probation Fee Fund. The Department’s FY 13-14 budget request includes the use of the estimated maximum shortfall authorization amount to cover anticipated county funding shortfalls.,Transfer Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46500
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Coroner's Fee,Coroner's Fee,86,Coroner,,"This fund collects the Coroner fee for Coroner Services pursuant to 55 ILCS 5/4-7001 and can be utilized for certain expenses of the Coroner’s office. By statute, moneys in the fund shall be used solely for the purchase of electronic and forensic identification equipment or other related supplies and the operating expenses of the coroner's office. Funding from this fund may not be used for food or salaries.",General Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,6000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9639,3298.5
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Coroner's Fee,Coroner's Fee,86,Coroner,,"This fund collects the Coroner fee for Coroner Services pursuant to 55 ILCS 5/4-7001 and can be utilized for certain expenses of the Coroner’s office. By statute, moneys in the fund shall be used solely for the purchase of electronic and forensic identification equipment or other related supplies and the operating expenses of the coroner's office. Funding from this fund may not be used for food or salaries.",Public Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,25582.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Traffic Violation Fee Account,Traffic Violation Fee Account,87,Presiding Circuit Judge,,This fund was created by Resolution 1982.02 to hold the fee collected by the Circuit Clerk on all traffic violations for the purpose of supporting the Court system in Macoupin County. The fee was no longer deposited in this fund after Resolution 2007.12 passed.,Commodities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Traffic Violation Fee Account,Traffic Violation Fee Account,87,Presiding Circuit Judge,,This fund was created by Resolution 1982.02 to hold the fee collected by the Circuit Clerk on all traffic violations for the purpose of supporting the Court system in Macoupin County. The fee was no longer deposited in this fund after Resolution 2007.12 passed.,Supplies,45000,45000,39000,20000,20000,20000,20000,50000,50000,50000,50000,50000,93000,81055,17000,1200,0,0,0,0,30924,31424,0,9053,1203,414,115,38250,2440,7849,13757,25717,43536,66474,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Animal Control Building Fund,Animal Control Building Fund,89,Animal Control Adminstrator,,This fund was created by Resolution 2007.13 to have fund for all donations that came in to help pay for the expenses of the new Animal Control building.,Public Safety,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9677,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk OP Fund,Circuit Clerk OP Fund,90,Circuit Clerk,,This fund generates revenue through fees collected on certain court cases and is used to offset extraordinary costs for services that the office renders over and above normal job functions.,Judiciary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,280,760,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2604,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Contractual Services,0,0,0,0,0,0,0,0,0,0,0,100,23800,25000,25000,0,0,0,25000,0,0,20330,0,14790,3023,2723,64000,25896,5295,1874,2620,28,48,53,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Office Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Equipment Purchase/Maintenance ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Service Charge ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Mileage/Witness Fees ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,751,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Crime Victims Fund,Crime Victims Fund,91,State's Attorney,,This fund in previous years was established to receipt State/Federal grant funds that allowed for support services for the victims of crimes through the State's Attorney's office.,Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Tourism Fund,Tourism Fund,92,County Board Office,,This fund was created by Resolution 2006.42 and receipts and expends money generated through the county’s hotel/motel tax which was established by Ordinance 2005.02 pursuant to 55 ILCS 5/5-1030. Expenses of this fund are made pursuant to specific purposes outlined in 55 ILCS 5/5-1030.,Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,7200,5000,19000,5063,5000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,7141,0,11921,5062,4000
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Traffic Safety School Fund,Traffic Safety School Fund,93,State's Attorney,,,Contractual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17616,17003,0,12250,10850,19875,15500,19200,19025,12725,799,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Traffic Safety School Fund,Traffic Safety School Fund,93,State's Attorney,,,Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,347,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Americans With Disabilities Fund ,Americans With Disabilities Fund ,94,Sheriff,,,Administration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Americans With Disabilities Fund ,Americans With Disabilities Fund ,94,Sheriff,,,Capital outlay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Sheriff's Leads Account,Sheriff's Leads Account,95,Sheriff,,"The Illinois Law Enforcement Agencies Data System (LEADS) is a statewide, computerized, telecommunications system, maintained by the Illinois State Police, designed to provide the Illinois criminal justice community with access to computerized justice related information at both the state and national level. According to LEADS, approximately 800 criminal justice agencies have direct access to LEADS statewide. In addition, over 20,000 computer desktop workstations and wireless mobile data computers access a variety of criminal justice data through LEADS. Participants include municipal, county, state, and federal law enforcement agencies; circuit court clerks, state's attorneys, and probation departments; and county jails and the Illinois Department of Corrections. The fund receives intergovernmental revenues from municipalities in the county and makes expenses for the use of the telecommunication service.",Payments for Telecommunication Service,0,5000,0,0,0,0,0,0,0,0,0,12000,12877,12000,12000,12000,12000,12000,0,0,1260,1374,0,1374,1260,1488,5492,15082,4465,8598,10514,11943,10529,10569,10529,10535,10562,10529,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Sheriff's Leads Account,Sheriff's Leads Account,95,Sheriff,,"The Illinois Law Enforcement Agencies Data System (LEADS) is a statewide, computerized, telecommunications system, maintained by the Illinois State Police, designed to provide the Illinois criminal justice community with access to computerized justice related information at both the state and national level. According to LEADS, approximately 800 criminal justice agencies have direct access to LEADS statewide. In addition, over 20,000 computer desktop workstations and wireless mobile data computers access a variety of criminal justice data through LEADS. Participants include municipal, county, state, and federal law enforcement agencies; circuit court clerks, state's attorneys, and probation departments; and county jails and the Illinois Department of Corrections. The fund receives intergovernmental revenues from municipalities in the county and makes expenses for the use of the telecommunication service.",Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Sheriff's Leads Account,Sheriff's Leads Account,95,Sheriff,,"The Illinois Law Enforcement Agencies Data System (LEADS) is a statewide, computerized, telecommunications system, maintained by the Illinois State Police, designed to provide the Illinois criminal justice community with access to computerized justice related information at both the state and national level. According to LEADS, approximately 800 criminal justice agencies have direct access to LEADS statewide. In addition, over 20,000 computer desktop workstations and wireless mobile data computers access a variety of criminal justice data through LEADS. Participants include municipal, county, state, and federal law enforcement agencies; circuit court clerks, state's attorneys, and probation departments; and county jails and the Illinois Department of Corrections. The fund receives intergovernmental revenues from municipalities in the county and makes expenses for the use of the telecommunication service.",Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1467,0,0,0,3012,1745,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Sheriff's Leads Account,Sheriff's Leads Account,95,Sheriff,,"The Illinois Law Enforcement Agencies Data System (LEADS) is a statewide, computerized, telecommunications system, maintained by the Illinois State Police, designed to provide the Illinois criminal justice community with access to computerized justice related information at both the state and national level. According to LEADS, approximately 800 criminal justice agencies have direct access to LEADS statewide. In addition, over 20,000 computer desktop workstations and wireless mobile data computers access a variety of criminal justice data through LEADS. Participants include municipal, county, state, and federal law enforcement agencies; circuit court clerks, state's attorneys, and probation departments; and county jails and the Illinois Department of Corrections. The fund receives intergovernmental revenues from municipalities in the county and makes expenses for the use of the telecommunication service.",Miscellaneous,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Supplies,0,0,0,0,0,9246,9246,9246,9854,2501,2500,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,499,391,1253,1163,90,0,2999,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Repairs & Maintenance,0,0,0,0,0,0,0,0,0,2520,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Support Payments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6068,3300,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Meetings & Conventions,0,0,0,0,0,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,474,265,37,33,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Miscellaneous,0,0,0,0,0,0,0,0,0,7353,7354,7374,7374,17374,17374,0,0,17500,27500,27500,0,0,0,0,0,969,977,268,460,50,55,72,359,306,233,127,853,89,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Computer Maintenance Contract,0,0,0,0,0,2520,2520,2520,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,96,Circuit Clerk,,"This special fund is composed of fees collected from child support payers and are used to further the efforts to collect future child support payments and offset extraordinary cost of collections, distribution, and interaction with other government agencies.",Capital Outlay,0,0,0,0,0,2000,2000,2000,2000,2000,2000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1042,1046,0,0,0,203,0,1230,0,0,0,0,0,0
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Macoupin County Cops Grant,Macoupin County Cops Grant,97,Sheriff,,The Sheriff’s office has contracted with the Southwestern School District #9 to provide law enforcement services. This fund collects periodic payments for those services.,Public Safety,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,65000,65000,0,0,0,0,0,0,0,125360,0,0,0,0,0,0,0,0,0,0,65000
Special Purpose Fund,2,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,Central Macoupin County Rural Water,Central Macoupin County Rural Water,98,County Board Office,,This fund handled expenditures made by the County to the Central Macoupin County Rural Water District.,Commodities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
