Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2025-26  Estimates,2024-25  Estimates,2023-24  Actuals,2022-23  Actuals,2021-22  Actuals,2020-21  Actuals,2019-20  Actuals,2018-19  Actuals,2017-18  Actuals,2016-17  Actuals,2015-16  Actuals,2014-15  Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Higher Education,State University of New York,Special Revenue Funds - Federal,Assistance and Grants,Federal Education Fund,25200,Fed Education,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,310,"1,441","10,041","6,101","7,134",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Fringe Benefits,Federal Education Fund,25200,Fed Education,51,51,35,37,58,15,99,111,25,25,69,55,41,46,54,59,49,16,92,44,57,32,30,43,54,48,25,20,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Indirect Costs,Federal Education Fund,25200,Fed Education,0 ,0 ,1,1,1,1,1,7,1,0 ,2,1,1,0 ,1,1,1,0 ,2,1,1,"-3,320","-2,271",1,0 ,-690,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Education Fund,25200,Fed Education,"339,005","339,005","355,211","458,840","810,669","466,169","337,421","341,502","332,286","301,376","303,094","303,462","292,184","281,146","293,152","250,191","177,459","196,551","178,512","157,150","147,627","158,501","164,363","154,757","133,854","120,946","108,588","109,161","95,699","79,989","71,677","71,372"
Higher Education,State University of New York,Special Revenue Funds - Federal,Personal Service,Federal Education Fund,25200,Fed Education,"8,221","8,221","9,240","7,952","6,720","6,283","9,759","9,638","7,963","8,488","8,982","8,399","8,209","8,240","8,350","9,302","6,917","8,666","8,661","8,741","9,622","10,194","9,996","9,625","9,673","9,547","7,952","8,888","4,807",0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Assistance and Grants,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"83,264","35,315",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Fringe Benefits,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39,77,323,102,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Indirect Costs,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,4,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,867","1,046",357,47,0 ,"58,956","88,243",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Personal Service,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44,203,556,443,0 ,0 ,"2,103",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Assistance and Grants,Federal Health and Human Services Fund,25100,Federal HHS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,180,750,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,"1,274","1,274","1,170","2,324",574,657,"1,271",0 ,618,88,228,79,316,3,338,433,474,884,895,944,"1,029",924,"1,053","1,207",629,"1,096",0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,251FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,203,209,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,25,0 ,111,791,49,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17,19,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,51,51,71,340,0 ,520,0 ,80,216,349,330,266,165,0 ,120,96,37,18,323,197,199,204,571,75,54,50,267,"1,405","1,995","12,268","11,888","19,406"
Higher Education,State University of New York,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,85,85,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17,86,0 ,96,0 ,0 ,19,0 ,2,0 ,0 ,0 ,212,"1,893","1,152",0 ,5
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,Combined Expendable Trust,201XX,S U Restric Cur,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,835,"1,723","1,636","1,432","1,393","1,227","1,076","1,131","1,118",807,523,696,800,775,722,528
Higher Education,State University of New York,Special Revenue Funds - Other,Indirect Costs,Combined Expendable Trust,201XX,S U Restric Cur,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68,141,119,105,107,-16,-16,-11,0 ,-7,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,201XX,S U Restric Cur,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,"4,186","10,476","11,065","9,909","10,872","7,755","9,624","8,938","9,441","8,109","8,586","6,132","5,739","7,143","5,943","6,240"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,Combined Expendable Trust,201XX,S U Restric Cur,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,088","4,242","3,548","3,753","3,761","3,622","3,106","4,069","3,754","3,591","2,474","3,840","2,870","2,468","2,495","2,196"
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,Combined Student Loan Fund,20950,Comb Student Ln,"4,000","4,000","3,875","2,591","4,360","6,850","9,237","5,459","23,588","28,436","27,360","27,257","29,218","26,267","25,815","22,098","20,531","18,447","26,907","33,075","33,786","36,517","33,352","28,078","28,128","23,902","26,068","21,607","23,772","23,315","21,549","20,310"
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21937,S U Dorm Reimb,0 ,0 ,(6),55,(5),(35),160,336,119,281,237,"10,048","20,042","19,313",18,1,0 ,1,6,1,3,4,0 ,0 ,1,5,1,4,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21937,S U Dorm Reimb,"116,146","112,763","109,479","118,357","112,476","81,587","118,852","131,996","144,071","128,475","136,501","139,020","133,133","125,577","151,956","138,932","131,906","134,061","131,963","123,380","117,814","106,231","105,511","92,825","80,588","87,166","70,586","52,608","59,082","52,858","53,532","54,691"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21937,S U Dorm Reimb,"134,698","130,775","126,966","119,500","115,915","111,761","126,092","123,351","118,645","138,330","135,395","132,915","131,266","126,334","126,422","120,483","116,316","109,737","102,796","98,506","91,266","90,389","85,233","82,700","75,055","73,394","66,271","64,016","60,627","58,523","56,771","58,128"
Higher Education,State University of New York,Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,168,"1,239","7,544",108,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,NYS Cannabis Revenue,24800,NY Cannabis Rev,"6,000","6,000",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22652,L I Vets Home,0 ,0 ,5,0 ,30,0 ,4,3,1,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22652,L I Vets Home,"24,652","23,478","22,360","21,695","18,743","13,492","17,600","18,282","20,826","13,023","16,083","16,512","16,232","14,007","14,811","15,790","13,237","16,303","13,573","14,343","13,043","10,317","8,654","10,642","9,387","9,178","8,122","9,401","8,441","8,627","9,611","7,410"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22652,L I Vets Home,"39,823","37,927","36,121","32,823","30,209","30,524","31,029","30,071","29,167","29,254","28,628","27,938","27,148","26,108","25,256","25,478","25,275","23,640","20,992","19,803","19,199","18,691","18,153","18,649","17,879","17,369","16,055","15,756","14,435","13,752","13,291","12,334"
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22653,S U Genl IFR,"14,388","13,969","13,562","11,813","7,814","7,130","9,531","12,978","2,933","2,203","(2,958)","2,719","6,309","4,641","5,212","4,180","5,242","6,256","6,573","4,496","3,623","1,589",-66,"1,868",8,3,58,1,2,1,1,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Indirect Costs,State University Income Fund,22653,S U Genl IFR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(7),7,0 ,1,2,1,0 ,(26),1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22653,S U Genl IFR,"682,805","662,917","643,609","581,019","387,404","460,870","469,396","409,317","564,983","519,332","538,791","554,760","477,565","400,128","524,536","444,714","362,078","392,454","352,271","389,801","353,463","347,710","272,027","291,452","211,152","229,964","207,554","151,462","171,982","204,056","219,490","208,627"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22653,S U Genl IFR,"281,158","272,969","265,018","238,171","127,921","256,170","192,134","188,488","181,751","186,518","179,519","164,280","162,330","153,613","167,891","150,955","112,735","123,252","111,753","125,020","109,141","124,173","104,172","103,604","88,997","82,190","73,508","69,020","63,740","56,986","63,706","61,889"
Higher Education,State University of New York,Special Revenue Funds - Other,Indirect Costs,State University Income Fund,22654,S U Inc Offset,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22654,S U Inc Offset,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,291","142,462","148,417","141,657","142,354","154,880","133,786","65,477"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22654,S U Inc Offset,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"33,700","626,171","657,826","646,794","567,709","630,997","593,375","529,879"
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22655,Gen Rev Offset,593,576,"2,255","(2,408)","(4,698)","(6,260)","(4,368)","(2,017)","2,262","4,904","7,395","5,967","9,805","7,676",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Indirect Costs,State University Income Fund,22655,Gen Rev Offset,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22655,Gen Rev Offset,"235,568","203,819","203,481","282,172","396,967","58,829","407,540","431,422","505,217","559,429","502,577","488,762","488,337","289,271","126,261","118,745","145,065","106,188","129,397","134,492","125,780","120,959","118,714","94,721","82,952",0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22655,Gen Rev Offset,"2,687,575","2,509,749","2,459,046","2,311,980","2,397,224","2,253,286","2,332,645","2,283,299","2,177,273","2,232,762","2,172,625","2,107,088","2,043,890","1,483,247","1,225,961","1,199,703","1,191,235","1,006,911","915,315","808,044","863,179","840,745","803,167","564,820","553,781",0 ,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22656,S U Hosp Ops,"594,616","576,776","425,357","531,850","508,297","419,208","436,251","509,795","421,738","408,917","362,591","295,069","326,948","288,860","351,466","314,941","279,213","249,222","240,879","222,676","188,382","186,946","145,996","123,708","70,975",32,10,14,59,41,24,16
Higher Education,State University of New York,Special Revenue Funds - Other,Indirect Costs,State University Income Fund,22656,S U Hosp Ops,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,2,0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22656,S U Hosp Ops,"1,838,911","1,726,945","1,708,031","1,574,154","1,354,911","1,348,296","1,183,228","1,013,908","1,027,491","954,779","971,797","977,338","1,053,432","985,005","937,931","542,625","618,316","605,755","558,568","530,374","493,917","491,215","421,225","398,459","351,347","315,933","296,943","242,756","222,186","234,682","212,706","205,488"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22656,S U Hosp Ops,"1,821,647","1,653,587","1,635,477","1,502,474","1,435,813","1,367,420","1,289,890","1,224,245","1,151,897","1,092,157","1,025,001","991,009","984,048","1,023,842","988,087","902,839","887,908","809,109","722,283","684,651","632,014","585,961","528,833","502,842","460,113","426,935","385,144","359,059","342,063","331,366","326,945","323,177"
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22657,SUNY Stabilizat,0 ,0 ,0 ,0 ,1,0 ,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,162,0 ,0 ,0 ,0 ,0 ,14,0 ,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22657,SUNY Stabilizat,600,600,"1,810",453,326,609,"1,496","1,167","1,019",423,0 ,674,"1,641","1,981",(928),"14,617","19,977","51,540","24,739","23,250","31,552","15,327","18,088","26,922","56,642","10,992","21,079","10,533","2,214",0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22657,SUNY Stabilizat,400,400,56,85,114,256,706,304,591,76,0 ,107,257,239,470,47,139,172,80,155,248,517,58,242,"4,290",0 ,"31,798","7,543",0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22658,State Univ Hosp,0 ,0 ,0 ,0 ,0 ,0 ,2,11,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22658,State Univ Hosp,"42,493","40,469","38,542","3,148","19,390","15,197","3,683","2,808","2,413","3,371","2,754","6,151","3,859","10,019","5,664","19,167","2,636","4,518","1,924","1,787","1,856","2,274","1,910","5,401","3,909","3,949","3,561","1,426","1,424",880,"4,673","2,316"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22658,State Univ Hosp,"58,894","56,090","53,419","50,680","49,799","54,602","50,340","45,229","40,082","36,387","34,713","32,697","34,477","30,369","38,273","36,684","24,642","25,003","26,410","22,569","21,113","21,688","23,156","27,404","25,820","23,373","16,657","24,134","17,791","24,343","27,955","28,720"
Higher Education,State University of New York,Special Revenue Funds - Other,Fringe Benefits,State University Income Fund,22659,SUNY Tuition Re,0 ,0 ,"(1,085)",(41),56,9,113,"1,418","3,807","3,978","3,264","2,796","6,024",934,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,267,0 ,0 ,0 ,0 
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,22659,SUNY Tuition Re,"33,113","32,148","31,212","26,315","5,210","13,104","30,927","32,623","36,314","28,164","33,910","51,250","50,757","38,577","79,821","55,118","29,214","59,631","41,664","41,746","48,951","40,040","71,380","63,247","35,920","46,013","20,766","15,349","14,992","9,718","12,730","13,588"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,22659,SUNY Tuition Re,"62,905","61,073","59,294","55,380","54,509","60,432","56,121","57,916","53,880","51,147","50,823","46,585","49,489","37,225","48,718","42,771","34,222","42,855","42,190","35,970","37,446","37,687","28,725","47,004","34,468","29,176","24,417","22,194","21,157","20,003","19,484","18,415"
Higher Education,State University of New York,Special Revenue Funds - Other,Non-Personal Service,State University Income Fund,226BP,Bridge Program,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,363,"16,502","7,447","5,733","9,301","4,246","6,977","8,289","7,137"
Higher Education,State University of New York,Special Revenue Funds - Other,Personal Service,State University Income Fund,226RO,Non-Resident Re,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,902",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",Capital Projects Funds - Other,Assistance and Grants,Capital Projects Fund,300CC,CPF - Auth Bond,0 ,"9,837",140,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Assistance and Grants,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48,"1,718",0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Non-Personal Service,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Personal Service,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,176,177,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Assistance and Grants,Community Projects Fund,10252,Comm Proj BB,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Assistance and Grants,Community Projects Fund,10253,Comm Proj CC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20,60,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Assistance and Grants,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,525,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Non-Personal Service,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47,130,0 ,2,19,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Personal Service,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",General Fund,Assistance and Grants,Local Assistance Account,10000,Local Assistnce,"61,635","87,615","93,868","93,921","90,396","30,654","44,013","39,248","34,950","38,907","38,332","62,791","22,990","19,095","29,571","39,671","36,887","40,073","47,412","43,381","37,185","37,425","38,568","43,901","45,686","47,148","43,260","45,937","29,919","28,937","30,361","31,848"
Education,"Arts, Council on the",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,"3,717","3,429","1,483","1,718","1,470","1,353","1,570","1,630","1,634","1,434","1,234","1,180","1,283","1,477","1,822","1,596","1,658","1,744","1,945","1,938","1,571","2,500","2,257","2,500","2,406","1,840","1,967","1,851","1,399","1,193",713,809
Education,"Arts, Council on the",General Fund,Personal Service,State Operations Account,10050,State Purposes,"3,824","2,995","2,848","2,698","2,678","2,600","2,681","2,636","2,626","2,491","2,253","2,132","2,128","2,059","2,266","3,098","3,741","3,754","3,559","3,516","3,209","4,833","4,430","4,777","4,649","4,680","4,348","3,786","3,476","2,660","1,971","2,456"
Education,"Arts, Council on the",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,600,600,121,"1,432","1,411","1,114",784,698,540,"1,052",359,965,608,0 ,"1,698",829,780,271,509,315,194,229,156,249,86,82,0 ,113,99,46,224,283
Education,"Arts, Council on the",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,151,138,184,291,143,48,61,167,196,0 ,242,76,104
Education,"Arts, Council on the",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,5,13,19,27,0 ,2,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,100,100,0 ,0 ,125,150,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,0 ,38,49,30,105,31,86
Education,"Arts, Council on the",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91,461,466,419,479,449,346,320,313,365,441,604,622
Education,"Arts, Council on the",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13,16,370,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Education,"Arts, Council on the",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,15,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
