Agency,1996-97  Actuals,Fund Type,1998-99  Actuals,2006-07  Actuals,2010-11  Actuals,Function,2013-14  Actuals,FP Category,2003-04  Actuals,2009-10  Actuals,2007-08  Actuals,Fund,2000-01  Actuals,2015-16  Estimates,2005-06  Actuals,Subfund Name,2008-09  Actuals,2002-03  Actuals,1999-00  Actuals,2001-02  Actuals,Subfund,1994-95  Actuals,2012-13  Actuals,1995-96  Actuals,2011-12  Actuals,2014-15  Estimates,1997-98  Actuals,2004-05  Actuals,Fund Description,FP Category Description,Fund Type Description
"Economic Development, Department of",28236000.0,General Fund,32856000.0,53653000.0,316000.0,Economic Development and Government Oversight,31944000.0,Grants to Local Gov.,37428000.0,7970000.0,7901000.0,Local Assistance Account,23745000.0,45214000.0,47541000.0,Local Assistnce,6417000.0,36431000.0,33192000.0,44956000.0,10000,37675000.0,64023000.0,40595000.0,48050000.0,56527000.0,27403000.0,49656000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Empire State Development Corporation,57486000.0,General Fund,108768000.0,59932000.0,29209000.0,Economic Development and Government Oversight,87233000.0,Grants to Local Gov.,31810000.0,2608000.0,95965000.0,Local Assistance Account,87515000.0,75124000.0,29758000.0,Local Assistnce,34835000.0,59331000.0,107799000.0,103051000.0,10000,1191000.0,78407000.0,2929000.0,70654000.0,88462000.0,53328000.0,3682000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Financial Services, Department of",0.0,General Fund,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,95000.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Insurance Department,0.0,General Fund,0.0,0.0,11145000.0,Economic Development and Government Oversight,0.0,Grants to Local Gov.,0.0,68598000.0,0.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Science, Technology and Innovation, NYS Foundation for",0.0,General Fund,0.0,0.0,23153000.0,Economic Development and Government Oversight,0.0,Grants to Local Gov.,0.0,25965000.0,38736000.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,24029000.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Adirondack Park Agency,0.0,General Fund,50000.0,50000.0,0.0,Parks and the Environment,0.0,Grants to Local Gov.,50000.0,0.0,88000.0,Local Assistance Account,50000.0,0.0,50000.0,Local Assistnce,25000.0,50000.0,50000.0,50000.0,10000,0.0,0.0,0.0,0.0,0.0,40000.0,50000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Environmental Conservation, Department of",1280000.0,General Fund,837000.0,5808000.0,1558000.0,Parks and the Environment,3746000.0,Grants to Local Gov.,1313000.0,5927000.0,4032000.0,Local Assistance Account,2001000.0,3552000.0,1744000.0,Local Assistnce,6170000.0,2313000.0,793000.0,3399000.0,10000,4637000.0,997000.0,7992000.0,3019000.0,12542000.0,813000.0,1839000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Parks, Recreation and Historic Preservation, Office of",15675000.0,General Fund,11797000.0,3844000.0,2404000.0,Parks and the Environment,2425000.0,Grants to Local Gov.,7228000.0,4386000.0,3914000.0,Local Assistance Account,10433000.0,2575000.0,5621000.0,Local Assistnce,4777000.0,3524000.0,5553000.0,11822000.0,10000,3389000.0,2268000.0,4234000.0,2300000.0,3000000.0,8648000.0,6893000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Motor Vehicles, Department of",1201000.0,General Fund,0.0,0.0,0.0,Transportation,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,2832000.0,0.0,999000.0,0.0,0.0,100000.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Transportation, Department of",176689000.0,General Fund,167746000.0,58879000.0,96005000.0,Transportation,97548000.0,Grants to Local Gov.,161692000.0,61569000.0,103066000.0,Local Assistance Account,219525000.0,97551000.0,147203000.0,Local Assistnce,104245000.0,162068000.0,166582000.0,150708000.0,10000,297529000.0,97551000.0,169126000.0,97776000.0,97551000.0,160834000.0,112548000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Aging, Office for the",56533000.0,General Fund,58489000.0,91164000.0,109142000.0,Health,111310000.0,Grants to Local Gov.,66047000.0,106800000.0,104041000.0,Local Assistance Account,60502000.0,126396000.0,70241000.0,Local Assistnce,111175000.0,64358000.0,58454000.0,62849000.0,10000,57088000.0,112449000.0,59307000.0,109171000.0,121135000.0,56523000.0,63911000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Health Basic Health Plan,0.0,General Fund,0.0,0.0,0.0,Health,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,134250000.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Health, Department of",5905425000.0,General Fund,6232827000.0,9897960000.0,8115783000.0,Health,12182551000.0,Grants to Local Gov.,6804655000.0,7469747000.0,9645935000.0,Local Assistance Account,6320395000.0,12933020000.0,8975956000.0,Local Assistnce,8628226000.0,6502317000.0,6470900000.0,6985162000.0,10000,6172056000.0,11736166000.0,5912800000.0,10948299000.0,12413498000.0,6075458000.0,7583128000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Children and Family Services, Office of",881321000.0,General Fund,913942000.0,1336547000.0,1640041000.0,Social Welfare,1747056000.0,Grants to Local Gov.,1049535000.0,1725723000.0,1585037000.0,Local Assistance Account,857487000.0,1716967000.0,1250639000.0,Local Assistnce,1649429000.0,951735000.0,844874000.0,946588000.0,10000,956321000.0,1486942000.0,869276000.0,1594858000.0,1573660000.0,861629000.0,1110851000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Housing Finance Agency,713000.0,General Fund,640000.0,0.0,0.0,Social Welfare,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,1700000.0,0.0,0.0,Local Assistnce,0.0,665000.0,760000.0,700000.0,10000,905000.0,0.0,758000.0,0.0,0.0,450000.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Housing and Community Renewal, Division of",65801000.0,General Fund,56707000.0,47905000.0,39476000.0,Social Welfare,13062000.0,Grants to Local Gov.,47647000.0,50140000.0,57287000.0,Local Assistance Account,55907000.0,4492000.0,47213000.0,Local Assistnce,52544000.0,51955000.0,54778000.0,50272000.0,10000,72554000.0,49896000.0,73415000.0,43047000.0,9103000.0,55602000.0,39735000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Labor, Department of",6570000.0,General Fund,9081000.0,12588000.0,8307000.0,Social Welfare,6118000.0,Grants to Local Gov.,44759000.0,7037000.0,12299000.0,Local Assistance Account,17458000.0,0.0,3598000.0,Local Assistnce,9880000.0,20558000.0,13753000.0,17981000.0,10000,12093000.0,5010000.0,9198000.0,3205000.0,14596000.0,9410000.0,4002000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
National and Community Service,0.0,General Fund,0.0,0.0,0.0,Social Welfare,420000.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,350000.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,396000.0,0.0,38000.0,350000.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Temporary and Disability Assistance, Office of",2199113000.0,General Fund,1929573000.0,1273393000.0,1196073000.0,Social Welfare,1350428000.0,Grants to Local Gov.,1490666000.0,1304327000.0,1530545000.0,Local Assistance Account,1719705000.0,1198379000.0,1284889000.0,Local Assistnce,1221706000.0,814794000.0,1697049000.0,1465378000.0,10000,2429268000.0,1535104000.0,2343773000.0,1404515000.0,1232159000.0,2067762000.0,1456837000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Alcoholism and Substance Abuse Services, Office of",224664000.0,General Fund,240517000.0,278013000.0,141619000.0,Mental Hygiene,24946000.0,Grants to Local Gov.,250220000.0,133014000.0,332807000.0,Local Assistance Account,253190000.0,28853000.0,254486000.0,Local Assistnce,119385000.0,253004000.0,241721000.0,249859000.0,10000,234285000.0,36152000.0,206871000.0,39570000.0,28923000.0,230273000.0,254506000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Justice Center for the Protection of People with Special Needs,0.0,General Fund,0.0,0.0,0.0,Mental Hygiene,111000.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,170000.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Mental Health, Office of",542858000.0,General Fund,572349000.0,831365000.0,538058000.0,Mental Hygiene,356802000.0,Grants to Local Gov.,696610000.0,538772000.0,920181000.0,Local Assistance Account,676723000.0,275463000.0,768760000.0,Local Assistnce,505547000.0,679062000.0,619766000.0,673929000.0,10000,454211000.0,392650000.0,515752000.0,427333000.0,352561000.0,545562000.0,730891000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Mental Hygiene, Department of",0.0,General Fund,0.0,0.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,4000000.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,8125000.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"People with Developmental Disabilities, Office for",453588000.0,General Fund,555649000.0,490547000.0,1556551000.0,Mental Hygiene,915647000.0,Grants to Local Gov.,639998000.0,1476079000.0,603932000.0,Local Assistance Account,598467000.0,909769000.0,414997000.0,Local Assistnce,1432557000.0,628392000.0,571756000.0,666340000.0,10000,645772000.0,1500227000.0,660678000.0,1594388000.0,1010298000.0,516469000.0,706314000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Quality of Care and Advocacy for Persons With Disabilities, Commission on",151000.0,General Fund,170000.0,324000.0,229000.0,Mental Hygiene,101000.0,Grants to Local Gov.,170000.0,593000.0,306000.0,Local Assistance Account,186000.0,0.0,238000.0,Local Assistnce,533000.0,196000.0,149000.0,170000.0,10000,17000.0,128000.0,99000.0,170000.0,0.0,115000.0,157000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Corrections and Community Supervision, Department of",91327000.0,General Fund,111876000.0,44627000.0,69000.0,Public Protection/Criminal Justice,5253000.0,Grants to Local Gov.,51278000.0,1134000.0,4185000.0,Local Assistance Account,120754000.0,6022000.0,50103000.0,Local Assistnce,1639000.0,43680000.0,120829000.0,42864000.0,10000,69093000.0,4651000.0,101868000.0,5594000.0,6022000.0,112021000.0,35014000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Criminal Justice Services, Division of",131671000.0,General Fund,151878000.0,124086000.0,115991000.0,Public Protection/Criminal Justice,116474000.0,Grants to Local Gov.,127485000.0,80329000.0,74014000.0,Local Assistance Account,154038000.0,120499000.0,116300000.0,Local Assistnce,81453000.0,131543000.0,151627000.0,144273000.0,10000,116973000.0,120019000.0,124017000.0,117006000.0,149926000.0,141998000.0,114342000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
Disaster Assistance,0.0,General Fund,0.0,0.0,0.0,Public Protection/Criminal Justice,32571000.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,19990000.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Homeland Security and Emergency Services, Division of",0.0,General Fund,0.0,76589000.0,17552000.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,12816000.0,0.0,0.0,Local Assistance Account,0.0,0.0,9944000.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,81684000.0,0.0,19575000.0,21014000.0,0.0,6491000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Military and Naval Affairs, Division of",14978000.0,General Fund,17927000.0,540000.0,684000.0,Public Protection/Criminal Justice,718000.0,Grants to Local Gov.,11298000.0,31531000.0,56256000.0,Local Assistance Account,7585000.0,911000.0,0.0,Local Assistnce,17293000.0,27535000.0,7155000.0,5673000.0,10000,573000.0,755000.0,783000.0,730000.0,967000.0,11832000.0,2000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Parole, Division of",0.0,General Fund,0.0,0.0,10196000.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,0.0,16324000.0,42642000.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,23453000.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Probation and Correctional Alternatives, Division of",0.0,General Fund,0.0,0.0,117000.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,0.0,70480000.0,69471000.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,74200000.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"State Police, Division of",4000.0,General Fund,0.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,0.0,0.0,0.0,Local Assistance Account,0.0,0.0,0.0,Local Assistnce,0.0,0.0,0.0,0.0,10000,0.0,0.0,97000.0,0.0,0.0,1050000.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
"Victim Services, Office of",0.0,General Fund,0.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,4975000.0,0.0,0.0,Local Assistance Account,0.0,1888000.0,256000.0,Local Assistnce,0.0,19813000.0,0.0,6470000.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
City University of New York,828874000.0,General Fund,693928000.0,990296000.0,1182513000.0,Higher Education,1345524000.0,Grants to Local Gov.,952406000.0,1524283000.0,1011883000.0,Local Assistance Account,738187000.0,1410039000.0,504291000.0,Local Assistnce,956179000.0,638229000.0,702108000.0,756987000.0,10000,854398000.0,1219949000.0,914037000.0,1202311000.0,1394160000.0,629217000.0,753615000.0,To account for General Fund expenditures for local assistance.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This is the major operating fund of the State. It receives all State income not earmarked for a particular program or activity and not specified by law to be deposited in another fund. State income for Financial Plan purposes consists of moneys (taxes, fees, and miscellaneous receipts including certain repayments of State advances) deposited to the credit of the General Fund during the fiscal year and transfers from other funds from current revenues."
